date,Open,High,Low,closing_price,Adj Close,Volume
13/03/1986,0.088542,0.101563,0.088542,0.097222,0.061109,1031788800
14/03/1986,0.097222,0.102431,0.097222,0.100694,0.063292,308160000
17/03/1986,0.100694,0.103299,0.100694,0.102431,0.064384,133171200
18/03/1986,0.102431,0.103299,0.098958,0.099826,0.062746,67766400
19/03/1986,0.099826,0.100694,0.097222,0.09809,0.061655,47894400
20/03/1986,0.09809,0.09809,0.094618,0.095486,0.060018,58435200
21/03/1986,0.095486,0.097222,0.091146,0.092882,0.058381,59990400
24/03/1986,0.092882,0.092882,0.08941,0.090278,0.056745,65289600
25/03/1986,0.090278,0.092014,0.08941,0.092014,0.057836,32083200
26/03/1986,0.092014,0.095486,0.091146,0.094618,0.059473,22752000
27/03/1986,0.094618,0.096354,0.094618,0.096354,0.060564,16848000
31/03/1986,0.096354,0.096354,0.09375,0.095486,0.060018,12873600
1/04/1986,0.095486,0.095486,0.094618,0.094618,0.059473,11088000
2/04/1986,0.094618,0.097222,0.094618,0.095486,0.060018,27014400
3/04/1986,0.096354,0.098958,0.096354,0.096354,0.060564,23040000
4/04/1986,0.096354,0.097222,0.096354,0.096354,0.060564,26582400
7/04/1986,0.096354,0.097222,0.092882,0.094618,0.059473,16560000
8/04/1986,0.094618,0.097222,0.094618,0.095486,0.060018,10252800
9/04/1986,0.095486,0.09809,0.095486,0.097222,0.061109,12153600
10/04/1986,0.097222,0.098958,0.095486,0.09809,0.061655,13881600
11/04/1986,0.098958,0.101563,0.098958,0.099826,0.062746,17222400
14/04/1986,0.099826,0.101563,0.099826,0.100694,0.063292,12153600
15/04/1986,0.100694,0.100694,0.097222,0.100694,0.063292,9302400
16/04/1986,0.100694,0.105035,0.099826,0.104167,0.065475,31910400
17/04/1986,0.104167,0.105035,0.104167,0.105035,0.06602,22003200
18/04/1986,0.105035,0.105035,0.100694,0.101563,0.063838,21628800
21/04/1986,0.101563,0.102431,0.098958,0.101563,0.063838,22924800
22/04/1986,0.101563,0.101563,0.099826,0.099826,0.062746,15552000
23/04/1986,0.099826,0.100694,0.098958,0.10026,0.063019,15609600
24/04/1986,0.10026,0.111979,0.099826,0.110243,0.069294,62352000
25/04/1986,0.111111,0.121962,0.111111,0.117188,0.073659,85795200
